12513	715.00	-99.79	725.00	7.53

15015	714.00	-101.33	732.00	7.60

17518	728.00	-79.72	740.00	7.67

20020	718.00	-95.16	734.00	7.62

22522	731.00	-75.09	735.00	7.63

25025	715.00	-99.79	732.00	7.60

27527	749.00	-47.31	738.00	7.65

30029	764.00	-24.16	732.00	7.60

32532	731.00	-75.09	732.00	7.60

35034	743.00	-56.57	729.00	7.57

37537	760.00	-30.33	733.00	7.61

40039	718.00	-95.16	732.00	7.60

42541	715.00	-99.79	732.00	7.60

45044	736.00	-67.37	729.00	7.57

47546	727.00	-81.26	736.00	7.63

50048	735.00	-68.92	729.00	7.57

52551	724.00	-85.90	734.00	7.62

55053	720.00	-92.07	739.00	7.66

57556	720.00	-92.07	735.00	7.63

60058	727.00	-81.26	737.00	7.64

62560	747.00	-50.40	732.00	7.60

65063	746.00	-51.94	738.00	7.65

67565	738.00	-64.29	733.00	7.61

70067	719.00	-93.61	729.00	7.57

72570	736.00	-67.37	737.00	7.64

75072	721.00	-90.53	733.00	7.61

77575	758.00	-33.42	732.00	7.60

80077	730.00	-76.63	730.00	7.58

82579	723.00	-87.44	736.00	7.63

85082	725.00	-84.35	732.00	7.60

87584	766.00	-21.07	733.00	7.61

90086	721.00	-90.53	735.00	7.63

92589	715.00	-99.79	736.00	7.63

95091	737.00	-65.83	734.00	7.62

97594	732.00	-73.55	735.00	7.63

100096	730.00	-76.63	741.00	7.68

102598	740.00	-61.20	732.00	7.60

105101	747.00	-50.40	745.00	7.72

107603	725.00	-84.35	732.00	7.60

110105	717.00	-96.70	735.00	7.63

112608	726.00	-82.81	741.00	7.68

115110	749.00	-47.31	738.00	7.65

117613	739.00	-62.74	747.00	7.73

120115	720.00	-92.07	729.00	7.57

122617	721.00	-90.53	737.00	7.64

125120	721.00	-90.53	738.00	7.65

127622	716.00	-98.24	743.00	7.70

130124	722.00	-88.98	739.00	7.66

132627	751.00	-44.22	733.00	7.61

135129	726.00	-82.81	733.00	7.61

137632	722.00	-88.98	739.00	7.66

140134	718.00	-95.16	732.00	7.60

142636	713.00	-102.87	733.00	7.61

145139	720.00	-92.07	710.00	7.40

147641	722.00	-
