712.00	-104.42	735.00	7.63

746.00	-51.94	741.00	7.68

752.00	-42.68	738.00	7.65

784.00	6.71	737.00	7.64

775.00	-7.18	735.00	7.63

748.00	-48.85	740.00	7.67

724.00	-85.90	734.00	7.62

748.00	-48.85	734.00	7.62

734.00	-70.46	740.00	7.67

728.00	-79.72	742.00	7.69

722.00	-88.98	736.00	7.63

735.00	-68.92	741.00	7.68

733.00	-72.00	735.00	7.63

738.00	-64.29	732.00	7.60

750.00	-45.76	736.00	7.63

738.00	-64.29	735.00	7.63

723.00	-87.44	735.00	7.63

735.00	-68.92	737.00	7.64

720.00	-92.07	732.00	7.60

745.00	-53.48	757.00	7.82

722.00	-88.98	734.00	7.62

743.00	-56.57	735.00	7.63

713.00	-102.87	742.00	7.69

762.00	-27.24	740.00	7.67

728.00	-79.72	743.00	7.70

730.00	-76.63	732.00	7.60

733.00	-72.00	745.00	7.72

726.00	-82.81	738.00	7.65

729.00	-78.18	736.00	7.63

725.00	-84.35	734.00	7.62

761.00	-28.79	739.00	7.66

777.00	-4.09	741.00	7.68

730.00	-76.63	744.00	7.71

745.00	-53.48	740.00	7.67

762.00	-27.24	742.00	7.69

742.00	-58.11	731.00	7.59

747.00	-50.40	743.00	7.70

721.00	-90.53	742.00	7.69

728.00	-79.72	741.00	7.68

738.00	-64.29	741.00	7.68

767.00	-19.53	741.00	7.68

712.00	-104.42	738.00	7.65

724.00	-85.90	747.00	7.73

734.00	-70.46	744.00	7.71

730.00	-76.63	742.00	7.69

763.00	-25.70	742.00	7.69

732.00	-73.55	747.00	7.73

745.00	-53.48	741.00	7.68

768.00	-17.98	730.00	7.58

731.00	-75.09	737.00	7.64

759.00	-31.87	748.00	7.74

726.00	-82.81	739.00	7.66

739.00	-62.74	741.00	7.68

768.00	-17.98	725.00	7.53

727.00	-81.26	738.00	7.65

735.00	-68.92	742.00	7.69

741.00	-59.66	736.00	7.63

727.00	-81.26	741.00	7.68

740.00	-61.20	743.00	7.70

729.00	-78.18	746.00	7.72

757.00	-34.96	737.00	7.64

750.00	-45.76	732.00	7.60

746.00	-51.94	740.00	7.67

724.00	-85.90	744.00	7.71

740.00	-61.20	747.00	7.73

740.00	-61.20	745.00	7.72

732.00	-73.55	734.00	7.62

723.00	-87.44	730.00	7.58

719.00	-93.61	740.00	7.67

742.00	-58.11	737.00	7.64

727.00	-81.26	746.00	7.72

763.00	-25.70	733.00	7.61

746.00	-51.94	747.00	7.73

744.00	-55.03	742.00	7.69

769.00	-16.44	738.00	7.65

730.00	-76.63	742.00	7.69

730.00	-76.63	751.00	7.77

723.00	-87.44	737.00	7.64

727.00	-81.26	739.00	7.66

729.00	-78.18	741.00	7.68

761.00	-28.79	737.00	7.64

717.00	-96.70	742.00	7.69

711.00	-105.96	738.00	7.65

723.00	-87.44	747.00	7.73

760.00	-30.33	731.00	7.59

732.00	-73.55	741.00	7.68

726.00	-82.81	739.00	7.66

734.00	-70.46	735.00	7.63

727.00	-81.26	736.00	7.63

755.00	-38.05	739.00	7.66

716.00	-98.24	739.00	7.66

735.00	-68.92	734.00	7.62

721.00	-90.53	738.00	7.65

725.00	-84.35	744.00	7.71

727.00	-81.26	735.00	7.63

730.00	-76.63	737.00	7.64

764.00	-24.16	731.00	7.59

748.00	-48.85	742.00	7.69

727.00	-81.26	721.00	7.50

730.00	-76.63	730.00	7.58

725.00	-84.35	736.00	7.63

729.00	-78.18	738.00	7.65

721.00	-90.53	730.00	7.58

711.00	-105.96	734.00	7.62

741.00	-59.66	730.00	7.58

733.00	-72.00	751.00	7.77

734.00	-70.46	767.00	7.91

730.00	-76.63	736.00	7.63

720.00	-92.07	737.00	7.64

759.00	-31.87	749.00	7.75

708.00	-110.59	741.00	7.68

736.00	-67.37	734.00	7.62

735.00	-68.92	741.00	7.68

730.00	-76.63	732.00	7.60

773.00	-10.26	735.00	7.63

718.00	-95.16	738.00	7.65

756.00	-36.50	741.00	7.68

732.00	-73.55	744.00	7.71

720.00	-92.07	737.00	7.64

745.00	-53.48	747.00	7.73

740.00	-61.20	736.00	7.63

752.00	-42.68	743.00	7.70

756.00	-36.50	758.00	7.83

725.00	-84.35	729.00	7.57

758.00	-33.42	738.00	7.65

731.00	-75.09	743.00	7.70

748.00	-48.85	742.00	7.69

747.00	-50.40	737.00	7.64

755.00	-38.05	744.00	7.71

748.00	-48.85	758.00	7.83

735.00	-68.92	724.00	7.53

731.00	-75.09	743.00	7.70

733.00	-72.00	767.00	7.91

737.00	-65.83	737.00	7.64

744.00	-55.03	742.00	7.69

767.00	-19.53	735.00	7.63

750.00	-45.76	735.00	7.63

734.00	-70.46	739.00	7.66

735.00	-68.92	755.00	7.81

744.00	-55.03	736.00	7.63

732.00	-73.55	739.00	7.66

740.00	-61.20	733.00	7.61

727.00	-81.26	738.00	7.65

737.00	-65.83	737.00	7.64

741.00	-59.66	739.00	7.66

714.00	-101.33	738.00	7.65

710.00	-107.50	743.00	7.70

727.00	-81.26	734.00	7.62

753.00	-41.13	733.00	7.61

725.00	-84.35	731.0
